#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
2000	0.9999999999999453	-10370.41394891886	1827.3048784100965	-8543.109070508763	227.1568590257824	6.476460544000001	1.0033555317817326	0	--
4000	1.9999999999998352	-9870.595371321635	2127.7789425166966	-7742.816428804938	264.50954462718795	6.476460544000001	1.0033555317817326	25.3	23:59:54
6000	3.000000000000169	-9884.195030515573	2252.1018113354626	-7632.093219180111	279.96443270832583	6.476460544000001	1.0033555317817326	25	23:59:50
8000	4.000000000000503	-9814.5436266395	2355.448422991772	-7459.095203647728	292.8117095761195	6.476460544000001	1.0033555317817326	24.8	23:59:47
10000	4.9999999999999485	-9798.30695294036	2360.8400579774093	-7437.46689496295	293.481957263203	6.476460544000001	1.0033555317817326	24.7	23:59:43
12000	5.999999999999394	-9717.242400346939	2236.330643559848	-7480.911756787091	278.0038792301376	6.476460544000001	1.0033555317817326	24.7	23:59:40
14000	6.99999999999884	-9581.50962256171	2365.755954948566	-7215.753667613145	294.0930647628086	6.476460544000001	1.0033555317817326	24.7	23:59:36
16000	7.999999999998286	-9442.4873898506	2432.8947825130153	-7009.592607337584	302.43926104806326	6.476460544000001	1.0033555317817326	24.8	23:59:33
18000	8.999999999999508	-9405.288325275114	2354.2039195135712	-7051.084405761543	292.6570022229597	6.476460544000001	1.0033555317817326	24.8	23:59:29
20000	10.00000000000073	-9511.376042950666	2309.0881179420926	-7202.287925008573	287.04854361351056	6.476460544000001	1.0033555317817326	24.8	23:59:26
22000	11.000000000001952	-9486.795479737604	2442.391322737086	-7044.404157000518	303.6197998155123	6.476460544000001	1.0033555317817326	24.7	23:59:22
24000	12.000000000003174	-9374.555040683597	2442.5195474881966	-6932.035493195401	303.6357397563814	6.476460544000001	1.0033555317817326	24.7	23:59:19
26000	13.000000000004396	-9317.325029386098	2452.316871399839	-6865.00815798626	304.85366969950246	6.476460544000001	1.0033555317817326	24.7	23:59:15
28000	14.000000000005619	-9524.959405268288	2419.445193841316	-7105.514211426972	300.76730889932804	6.476460544000001	1.0033555317817326	24.7	23:59:12
30000	15.00000000000684	-9530.466681473135	2527.4913102803694	-7002.975371192766	314.1987930102796	6.476460544000001	1.0033555317817326	24.7	23:59:08
32000	16.00000000000806	-9572.368198744276	2412.8211199222433	-7159.547078822033	299.94385363294674	6.476460544000001	1.0033555317817326	24.8	23:59:05
34000	17.00000000000573	-9608.569897508796	2469.875379012432	-7138.694518496364	307.036411882037	6.476460544000001	1.0033555317817326	24.8	23:59:01
36000	18.0000000000034	-9451.62904637176	2384.8748771525266	-7066.7541692192335	296.46978600244586	6.476460544000001	1.0033555317817326	24.8	23:58:58
38000	19.00000000000107	-9499.69472076322	2419.8044086963214	-7079.890312066898	300.8119638001837	6.476460544000001	1.0033555317817326	24.8	23:58:54
40000	19.99999999999874	-9505.405042656319	2341.3206276877468	-7164.084414968573	291.05544785748725	6.476460544000001	1.0033555317817326	24.7	23:58:51
42000	20.999999999996408	-9614.696762200043	2354.7990694681284	-7259.8976927319145	292.7309868086322	6.476460544000001	1.0033555317817326	24.7	23:58:47
44000	21.999999999994078	-9565.43917907745	2371.595500495949	-7193.843678581501	294.8189933368273	6.476460544000001	1.0033555317817326	24.7	23:58:44
46000	22.999999999991747	-9550.612946014711	2323.7371719533944	-7226.875774061316	288.8696043112753	6.476460544000001	1.0033555317817326	24.8	23:58:40
48000	23.999999999989416	-9635.350539809151	2198.628515509566	-7436.7220242995845	273.3170329968251	6.476460544000001	1.0033555317817326	24.8	23:58:37
50000	24.999999999987086	-9628.573603517005	2362.960523524674	-7265.61307999233	293.7455576612976	6.476460544000001	1.0033555317817326	24.8	23:58:34
52000	25.999999999984755	-9635.181595301096	2279.659316022545	-7355.52227927855	283.39017533139184	6.476460544000001	1.0033555317817326	24.8	23:58:30
54000	26.999999999982425	-9784.029083008354	2444.166646457612	-7339.862436550742	303.8404947662419	6.476460544000001	1.0033555317817326	24.8	23:58:26
56000	27.999999999980094	-9467.79128093107	2373.9496474479374	-7093.841633483132	295.1116432572741	6.476460544000001	1.0033555317817326	24.8	23:58:23
58000	28.999999999977764	-9652.627625413386	2393.9417909977456	-7258.685834415641	297.59691683565933	6.476460544000001	1.0033555317817326	24.7	23:58:19
60000	29.999999999975433	-9607.914585212016	2385.8936766119136	-7222.020908600103	296.5964355221324	6.476460544000001	1.0033555317817326	24.8	23:58:16
62000	30.999999999973102	-9488.32259390958	2360.732549362205	-7127.590044547374	293.4685925972206	6.476460544000001	1.0033555317817326	24.8	23:58:13
64000	31.999999999970772	-9601.726356898582	2611.2447989249345	-6990.481557973648	324.6103995449835	6.476460544000001	1.0033555317817326	24.8	23:58:09
66000	32.99999999997554	-9608.036842448619	2482.0256578857625	-7126.011184562856	308.5468435662968	6.476460544000001	1.0033555317817326	24.8	23:58:06
68000	33.99999999998032	-9707.100911260066	2361.900582435121	-7345.200328824945	293.61379372223087	6.476460544000001	1.0033555317817326	24.8	23:58:02
70000	34.99999999998509	-9775.716204100487	2372.709117558485	-7403.007086542002	294.957429870912	6.476460544000001	1.0033555317817326	24.8	23:57:59
72000	35.99999999998987	-9769.346983246778	2222.5504557997647	-7546.796527447013	276.2908294783689	6.476460544000001	1.0033555317817326	24.8	23:57:55
74000	36.99999999999464	-9774.79823619372	2404.6796378981535	-7370.118598295566	298.93176555379915	6.476460544000001	1.0033555317817326	24.7	23:57:52
76000	37.99999999999942	-9743.136756630176	2432.5899638597853	-7310.54679277039	302.40136827567574	6.476460544000001	1.0033555317817326	24.8	23:57:48
78000	39.00000000000419	-9564.012629088938	2397.1719833915786	-7166.84064569736	297.99847016532067	6.476460544000001	1.0033555317817326	24.8	23:57:45
80000	40.00000000000897	-9557.282031768249	2391.791662316187	-7165.490369452062	297.32962893883655	6.476460544000001	1.0033555317817326	24.8	23:57:41
82000	41.00000000001374	-9495.566782429527	2420.317006706531	-7075.249775722996	300.875686146311	6.476460544000001	1.0033555317817326	24.8	23:57:38
84000	42.00000000001852	-9570.123461753486	2444.959765977806	-7125.16369577568	303.93908944585337	6.476460544000001	1.0033555317817326	24.8	23:57:34
86000	43.00000000002329	-9352.486904880428	2584.3777302289814	-6768.109174651447	321.27048675412357	6.476460544000001	1.0033555317817326	24.7	23:57:31
88000	44.000000000028066	-9475.859410542209	2573.774908865681	-6902.084501676528	319.9524233996415	6.476460544000001	1.0033555317817326	24.7	23:57:27
90000	45.00000000003284	-9607.556774344124	2470.442753961706	-7137.114020382418	307.10694368704105	6.476460544000001	1.0033555317817326	24.7	23:57:24
92000	46.000000000037616	-9648.582840389365	2399.008980343813	-7249.573860045552	298.2268318703869	6.476460544000001	1.0033555317817326	24.8	23:57:20
