#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
2000	0.9999999999999453	-21255.065773732353	4151.946109904188	-17103.119663828165	236.77777934976848	15.625	0.9061209389598979	0	--
4000	1.9999999999998352	-20571.526296730644	4790.035248684319	-15781.491048046326	273.16681844330634	15.625	0.9061209389598979	19.4	23:59:52
6000	3.000000000000169	-20442.08794565419	4998.693486387395	-15443.394459266798	285.06621040519053	15.625	0.9061209389598979	19.1	23:59:47
8000	4.000000000000503	-20535.36719312063	5069.858513335026	-15465.508679785604	289.12461978768016	15.625	0.9061209389598979	19.1	23:59:43
10000	4.9999999999999485	-20114.153793366455	5232.697842871203	-14881.455950495252	298.41104447089236	15.625	0.9061209389598979	19	23:59:38
12000	5.999999999999394	-20094.4176013895	5409.469651145172	-14684.947950244328	308.49201255352466	15.625	0.9061209389598979	19	23:59:33
14000	6.99999999999884	-20121.09670033548	5307.52158136062	-14813.575118974863	302.6781033809081	15.625	0.9061209389598979	19.1	23:59:29
16000	7.999999999998286	-20253.471687985788	5314.283667772771	-14939.188020213016	303.06373261646615	15.625	0.9061209389598979	19.2	23:59:25
18000	8.999999999999508	-20239.883409705802	5397.020318321973	-14842.86309138383	307.78205021243554	15.625	0.9061209389598979	19.1	23:59:20
20000	10.00000000000073	-20143.135363548743	5306.071648165299	-14837.063715383443	302.5954163823041	15.625	0.9061209389598979	19.1	23:59:15
22000	11.000000000001952	-20254.612329263775	5394.018519002443	-14860.593810261333	307.61086316951213	15.625	0.9061209389598979	19.1	23:59:11
24000	12.000000000003174	-20099.607362431427	5233.416124047624	-14866.191238383803	298.45200671303127	15.625	0.9061209389598979	19.1	23:59:06
26000	13.000000000004396	-19864.836295245892	5079.247356413857	-14785.588938832036	289.6600480798649	15.625	0.9061209389598979	19.1	23:59:02
28000	14.000000000005619	-20202.5110995948	5245.182614740138	-14957.328484854665	299.1230278349739	15.625	0.9061209389598979	19.1	23:58:58
30000	15.00000000000684	-20110.84882428159	5349.722054087294	-14761.126770194296	305.0847180033611	15.625	0.9061209389598979	19.1	23:58:53
32000	16.00000000000806	-20114.20877700162	5340.311858811396	-14773.896918190223	304.54807203501394	15.625	0.9061209389598979	19.1	23:58:48
34000	17.00000000000573	-19976.91467791991	5423.122451061349	-14553.79222685856	309.27060638891857	15.625	0.9061209389598979	19.1	23:58:44
36000	18.0000000000034	-19904.944614582102	5246.7626546058345	-14658.181959976268	299.21313457547114	15.625	0.9061209389598979	19.1	23:58:39
